overall,reviewText
positive,i was looking for brushes online and these work really good  there super soft and there a cute color pink iove them they came in less then  weeks  its such a good deal you will love them and they dont smell bad at all they only thing is that they dont come in a case but get your own make up bag 
positive,super cute earrings delivery was faster than expected gotta love that
positive,the title says it all  best dry shaver available for light shaving  just outstanding  that basically sums it up 
negative,this tape breaks during usage very easily  it usually takes  to  quantities to do my mouth i will not buy again
positive,i wanted something to make it easier to pee when i go out to this camping rave tomorrow it may take a bit of practice but it does the job i love it and use it now when i just feel like standing up or need to conserve on toilet paper great buy
positive,i live and work in a monsoon area where there are lots of bugs that sting and bite i have not been bitten since wearing these
positive,this stuff is amazing i was told to use this by an ayurvedic specialist i had a bacterial infection a few years ago and now have constant adult acne dark marks and overall bad complexion i have been using this oil for about  weeks i rub about  drops into my face lightly before bed and in the morning theres a huge difference its made a big difference on the occurrence of acne lightening the dark marks and i even have less blackheads
neutral,this shaver works but it is a bit loud it requires several rounds to approximate anything you can call smooth shave it definitely does not compare well to razor the trimmer broke off after nine months of intermitent use i experienced occational nicks and pull until i started using thenbspa datahookproductlinklinked classalinknormal hrefremingtonspshaversaverdpbjdztkrefcmcrarpdrvwtxtieutfremington sp shaver saveranbspwhich not only stopped the pulls and nicks but also dramatically extended the life of the cutters and screen i sprayed it on the cutters and screen after each use even though i purchased replacement cutter and screen units i never installed it since the original units were still going strong before the trimmer broke off i have since resumed using gillette sensor excel razors
positive,ive used this product for years difficult to find in retail storesso happy to find in your inventory  love it 
neutral,kind of dry
positive,my daughter enjoys her baths with the yummy blueberry taste less tangles and easier to comb thru her hair great product
negative,i received these they look like factory seconds the printing on them was so faded that you could hardly read printing on them i returned them 
neutral,this is a good buy for the price serves the purpose i particularly like the little slot on the back which can be used to slip your fingers through to hold the kindle without needing a firm grip a little heavier than the kindle brand cover i should also mention that my husband and i both have this cover the magnet has popped out of its gusset
positive,wife loves it and i made points again  
negative,i purchased this norelco from best buy it looked cool and was the most expensive one there so i figured it has to be good came home was very excited opened it was very stylish i had a light  ocklock shadow going on so i decided to shave it i had to go over five times to cut most of my beard off and it left behind many little hairs  very sloppy jobi spent a little more and got the braun shaver which is  times better even though it doesnt look as stylish and is bigger
positive,i purchased and received this it is exactly as described i am happy as a clam
neutral,greys are not real flattering to most skin tones but if thats what you want this is a great product i prefer their other color sets but i like having options for liner you cant go wrong using these wet as a liner these are the matte colors the frosts are really special when used wet put them on with a little extra moisture and they go on like chrome if you let them dry before moving or blinking too much they stay smooth and gleaming even on older skin with some wrinkles
positive,i got into this particular brand because my new razor came with these blades  good price on these which is nice because they dont last more than one or two shaves before needed to be replaced
negative,gritty 
negative,not real nail wraps designs are interesting but wont stay on your nails for very long ill probably end up using them as stickers on paper
negative,horrible huge and very cheap looking do not buy
negative,broke within a week
neutral,i bought it as a gag  and it scared the dog
negative,the wire whisk that came with the bottle rusted after one use also one of the bottles came broken thanks 
positive,love them for making my own breath spray
neutral,really small for like childrens nails or small fingers and toes
positive,my dentist suggested i get a water flosser and i chose the waterpik im enjoying ease in cleaning food from those small crevasses with ease
positive,this product is nongreasy and odor free hoping for some results soon
positive,the colors are amazing and stay on for a long time
positive,this was my first time trying a unorthodox water basedbut i have to say water based or oil that this pomade was almost perfect to my one and only pomadeit breaks down creamy but holds heavykind if deceiving i think everyone needs to try thisfor a medium it is a all around good go to pomadeand the cologne scent is killer
positive,this has been a great trimmer  the product works as described  its perfect for the more sensitive areas eg johnson balls etc as well as underarms and back  great product
positive,it took a while to arrive but is understandable since it comes from hong kong i believe  it is  so beautiful and  the waiting was worth it 
negative,i shave daily and ive used remington shavers for over  years  this was the first time ive been disappointed  its so loud that it hurts my ears  it takes longer to get a clean shave than my other  shavers  the trimmer wont lock down  the only reason that i decided to buy a new shaver was because the batteries were so old they wont keep a charge so ive been shaving using the power cord  however they continue to stop functioning  i cant get the trimmers to work any longer now  but theyre both around  years old  im getting ready to return this one  sorry remington  you need to boost your quality control  i would not recommend this one
neutral,ok
positive,great deodorant im happy with my purchase wish it  was a little easier to get in australiai had to purchase through the us amazoncomid be happy to be a distributor for you heremaybe when im in bali next march we could meet email me 
negative,this is the second time in ordered these razor blades the first time they were better quality and sharper than the second time i ordered them the blades from this purchase werent as sharp and singlewrapped only in the wax paperfirst purchase were double wrapped in wax paper and paper label
neutral,honestly disappointed i thought the cocoa perfume could have the scent of chocolate sweet and warm but this one smells like clove and old herbs very bitter
positive,good for strech marks
negative,again dont like the smell  not an exceptional product
positive,very satisfied with the product shipping fast and without problems
positive,it does the job until i drop the darn thing and have to buy again
positive,awesome
positive,exactly what i needed it had different lengths and diameters  i needed a screw for the case back of a casio film watch and this had the exact size screw i needed and a nice assortment of other screws
neutral,i thought it was a bargain price but it actually cost more than if i had bought it locally
negative,i wear mac lipstick and lip liner and my lipstick lasts all day i can eat multiple times and it still stays on i only bought this so it wouldnt transfer to my fiances face when i kiss him it does not work and actually my lipstick lasts less with this on top
neutral,its kind of an odd mix of reviews here evidently there have been multiple listings and products used under this number so that there are multiple items being reviewed i am reviewing the exfoliating gloves they are mediocre they are just a little rough and are good for things like legs and your back at least the parts you can reach the gloves are nothing super special and eventually they get a little gross you have to keep them clean as well and let them dry completely otherwise they will go yucky
positive,this glue holds good
positive,these go with everything i dont think i have taken them off since i bought them
positive,great product
negative,pulls nose hair even though it claims not to
neutral,the scent was just alright  not bad but i was looking for a softer cleaner peachier scent  essential oil style
neutral,the pusher thing to push up the stick is bad to take off the cap you need long nails or youll have to use your mouth gross the stick doesnt stick to the bottom i doubt they even have something to help it stay in place im using this for stretch marks will update review if is works or not
positive,this product is a godsend ive tried nair home waxing kits  infomercial electrolysis  all were a waste of money and my brows grow back so fast that i hate making all the trips to the salon that i have to take to keep them up id say this product works as good as the pros it just takes practice its definitely worth the splurge if nothing else works  ur sick of going to the salon which btw with the wrong stylist can ruin the shape of ur brows i apply on most of the brow area but tweeze them as it gets too close  dont want to mess up my brow shape cause i havent quite mastered it yet its extremely sticky so try not to get it on ur counters or other areas u dont i tend to wax cause it sucks to try to get off of places it shouldnt be it takes a little while to warm up the wax but again its worth it so ive got the patience for it
neutral,i bought this for the wife she personally did not like it she did not like the smell and also said it did not leave her skin as soft as other products by this brand she does not use it
neutral,yall need new noses or something while the scent for this mist is decent and works nicely with the bum bum cream im not sure where youre getting this beach smell and more importantly the scent fails to last the cream on its own is what carries the scent  with or without the fragrance mist the creams scent is strong the mist adds a nice whiff initially but thats about it  frankly there are way too many nice body mists to try out for me to buy this again but if youre religious about bum bum cream then i suggest you stay with this because the fragrance in the cream is such that it wont really meld with many other perfumes  im enjoying using the bbc and this mist generally speaking but neither product is really worth the price tag i have many other bottles of products that work as well if not better for a fraction of the cost or even double the cost with staying power
negative,nothing like the picture also its really cheap one small tug would probably break the chain
neutral,hard to work with without ripping and they are not reusable  i ordered more as we need them for an addition to our dance costumes  the company was easy to work with
neutral,i did not like the position of the pouches am a frecuent traveler and i can not find any purpose to the pouches maybe this was designed for women
neutral,my two year old suffers from eczema and it is miserable this cream has been the fastest treatment at clearing it up and relieving it just after one use there was a significant visible improvement in his eczema breakout a bit pricey but well worth it a little goes a long way  update im not sure what happened but we have had the cream for  months now and it suddenly has a very unpleasant smell to it i cant even stand to open the container because it makes me gag we have always kept it in a cool dry place and it hasnt ever been exposed to extreme temperatures im disappointed because the smell is so bad that we have to throw it away
neutral,thick lotion feels like a cream rather than a lotion smells gr only problem i have is that there isnt a coconut or vanilla smell it just smells like papaya wish it smelt more like the soap
negative,the lining is cheap plastic material and the zipper is extremely difficult to zipit sticks on all  corners  should have expected this for the price
negative,i had seen  gallstones on my ultrasound ive tried this and they are still there on ultrasound the same still causing pain too high of a price to pay for no results
neutral,too expensive and doesnt last as long as advertised
neutral,pricey lip color system  i dont dislike the color but it dislikes me lol  it is quite more orange than i expected it also leaves an edge on the bottom lip which doesnt make it look smooth  i probably just need more practice with it i will probably purchase another color to lighten this one or to use all by itself then i can give a review based on the new results   i really want to like this product for others considering this lipsense it seems the colors are darker in real life so you may want to consider a shade a little less dark
positive,i just love my hand i do nails much better and it ended up being a good tool to keep my lil cousins away from all my stuff a hand lol but over all it works how i thought it would
positive,i am very pleased with this pair of earrings they are well made a good size and very pretty
positive,kids love it took awhile to get here but worth the wait the items are pricey but exactly as advertised
neutral,i have been using daily for  weeks now and do not notice a difference in my eyelashes at all
negative,after  uses the battery wouldnt hold a charge and of course it is past amazons  day return policy  indestructible i think not
positive,i like this powder it is just enough to cover your little red spots but does not look like you are wearing a ton of make up it is very hard for me to find make up it lets my skin still breath with other powders i have the feeling im wearing a face mask not with this one  i received this powder with a discount in exchange for my honest and unbiased review
neutral,its a little hard to where while in the house hope it does help though
